,cv.mse,mse,ad.r2,aic,vif
mallow's cp,15.59494454,14.66266018,0.741582781,671.8995138,WEIGHT:12.12 ABDOMEN:7.01 THIGH:4.4 WRIST:2.73 AGE:2.05 FOREARM:2.01
max r2,15.65596592,14.20731003,0.744234729,674.1703727,WEIGHT:169.02 ADIPOSITY:115.16 HEIGHT:36.44 HIP:11.91 ABDOMEN:11.9 CHEST:11.02 THIGH:6.33 NECK:3.76 WRIST:3 FOREARM:2.21 AGE:2.09
back.AIC,15.66843188,14.48069777,0.742626918,672.8400608,WEIGHT:158.44 ADIPOSITY:109.9 HEIGHT:35.51 ABDOMEN:11.08 THIGH:4.81 WRIST:2.75 FOREARM:2.12 AGE:2.06
forw.AIC,15.77333869,14.95895844,0.738557763,672.801035,WEIGHT:7.57 ABDOMEN:4.3 BICEPS:2.67 WRIST:2.11
back.BIC,15.87932052,15.18530692,0.73570304,674.480436,WEIGHT:5.7 ABDOMEN:4.25 WRIST:2.09
forw.BIC,15.87932052,15.18530692,0.73570304,674.480436,WEIGHT:5.7 ABDOMEN:4.25 WRIST:2.09
bess,15.87932052,14.95843694,0.737473015,674.7924938,CHEST:8.65 ADIPOSITY:8.28 ABDOMEN:8.13 WEIGHT:6.84 WRIST:2.09
original,15.94139488,14.14647541,0.742008113,679.1190488,WEIGHT:172.75 ADIPOSITY:115.96 HEIGHT:36.58 ABDOMEN:12.37 HIP:12.14 CHEST:11.1 THIGH:7.26 KNEE:4.44 NECK:3.89 BICEPS:3.44 WRIST:3.34 FOREARM:2.4 ANKLE:2.32 AGE:2.31
lasso,16.0203825,15.13195138,0.735534313,675.618081,WRIST:1.84 ABDOMEN:1.58 HEIGHT:1.35 AGE:1.23
random forest,16.487466,15.3996492,0.72859396,683.9144589,WEIGHT:13.07 CHEST:10.86 HIP:10.7 ADIPOSITY:10.2 ABDOMEN:8.67 THIGH:5.49
